title,description,source,published_at,url
"Bitcoin impulse move toward new highs sets a fire under HYPE, ETH, XMR and AAVE","Key points:<ul><li>Bitcoin’s rally to $105,980 has traders predicting new all-time highs this week. 
</li><li>Traders lift their end-of-year Bitcoin price targets to $200,000 based on technical factors and institutional investor adoption. 
</li></ul>Bitcoin…",Cointelegraph,2025-05-18T23:40:47Z,https://cointelegraph.com/news/bitcoin-impulse-move-toward-new-highs-sets-a-fire-under-hype-eth-xmr-and-aave
Portugal’s Center Right Wins Vote But Falls Short of Majority,,Biztoc.com,2025-05-18T23:35:21Z,https://biztoc.com/x/5645f2046cb569ef
New Jersey Transit and Engineers’ Union Agree to Deal to End Strike,,Biztoc.com,2025-05-18T23:24:14Z,https://biztoc.com/x/c9c95bb143ff0a0b
"How the crypto industry is adapting to the recent wave of kidnappings, from more extensive security around conferences, to a rise in personal bodyguards, more",,Biztoc.com,2025-05-18T23:13:18Z,https://biztoc.com/x/262a7191f7bf12ae
"We Tasted 11 Dill Pickle Brands, And These Were The Clear Winners",,Biztoc.com,2025-05-18T23:13:04Z,https://biztoc.com/x/f30749e852cd3e4d
UK Home Asking Prices Rise to Record High as Demand Rebounds,,Biztoc.com,2025-05-18T23:12:45Z,https://biztoc.com/x/180495f3f7a4469f
Norwegian Cruise Line employee sounds alarm on new cruise scam,,Biztoc.com,2025-05-18T23:02:05Z,https://biztoc.com/x/7951e57484bc4044
"Goldman, CVC execs are moving to Milan. But will others follow?",,Biztoc.com,2025-05-18T23:02:00Z,https://biztoc.com/x/c6b799e02c7129c1
Index providers fight over $6.4bn business: ‘We want our fair share’,,Biztoc.com,2025-05-18T23:02:00Z,https://biztoc.com/x/c591a3caa8f2b9f4
Talent war boosts pay for UK wealth CEOs,,Biztoc.com,2025-05-18T23:01:59Z,https://biztoc.com/x/3f5ebaa95ea65a08
How hedge fund ‘Ronaldos’ beat the Trump slump,,Biztoc.com,2025-05-18T23:01:52Z,https://biztoc.com/x/e80fd9865d5936eb
Chinese Trader Who Made $1.5 Billion on Gold Builds a Giant Bet on Copper,,Biztoc.com,2025-05-18T23:01:47Z,https://biztoc.com/x/adddd882a9b98384
Oil Steadies After Early Surge as Traders Mull Moody’s Downgrade,,Biztoc.com,2025-05-18T23:01:44Z,https://biztoc.com/x/7c6a0ebba6ac3943
‘Big won’t always win’: Why Quilter Cheviot wants to be more like a private bank,,Biztoc.com,2025-05-18T23:01:38Z,https://biztoc.com/x/a16d60f652a3a811
Bodybuilders love this supplement. Should older adults take it too?,,Biztoc.com,2025-05-18T22:50:45Z,https://biztoc.com/x/408508ae745608d6
Goldman Sachs Leads in a Patchy Year for Foreign Banks in Japan,,Biztoc.com,2025-05-18T22:50:31Z,https://biztoc.com/x/70178dbef5c2864e
"NJ Transit Makes Deal With Engineers, Ending Three-Day Strike",,Biztoc.com,2025-05-18T22:50:27Z,https://biztoc.com/x/893d8e2c7add05f6
Crypto investors are ramping up personal security as physical attacks surge: Report,"Amid a recent surge in physical threats to crypto investors with substantial holdings, firms that offer personal security services are seeing increasing demand. Amsterdam-based physical security and intelligence services provider Infinite Risks International’…",CryptoSlate,2025-05-18T22:41:28Z,https://cryptoslate.com/crypto-investors-are-ramping-up-personal-security-as-physical-attacks-surge-report/
Warner Bros.’ David Zaslav Tried to Rebrand HBO. It Didn’t Work,,Biztoc.com,2025-05-18T22:40:01Z,https://biztoc.com/x/4bbbef95981c61a4
Dollar Weaker as Traders Mull Moody’s US Downgrade: Markets Wrap,,Biztoc.com,2025-05-18T22:39:52Z,https://biztoc.com/x/15366ceb0621ea7f
Polish Ballot Set to Jolt Zloty as Pro-EU Front-Runner Pressured,,Biztoc.com,2025-05-18T22:39:40Z,https://biztoc.com/x/649788f98ecad2c4
"Arthur Hayes on Bitcoin’s route to $200,000, holding gold and why ‘hated’ Ethereum is due for a comeback","Arthur Hayes is a famous figure from the early days of Bitcoin, who co-founded the off-shore BitMEX exchange in 2014 before running afoul of U.S. regulators. Hayes recently pleaded guilty to failing to implement sufficient money-laundering controls, and accep…",Biztoc.com,2025-05-18T22:39:37Z,https://biztoc.com/x/29f78f3bedfd9eec
"Sources: Cyera is raising $500M led by Lightspeed, Greenoaks and Georgian in a round valuing the data security company at $6B, up from 2024's $3.4B valuation",,Biztoc.com,2025-05-18T22:28:51Z,https://biztoc.com/x/419b5fbb76c7a7cb
Stock futures fall after Moody’s strips U.S. of its top credit rating,,Biztoc.com,2025-05-18T22:28:36Z,https://biztoc.com/x/7d828280766a3b73
Carlyle on Japan Hiring Spree After New $3 Billion Buyout Fund,,Biztoc.com,2025-05-18T22:28:32Z,https://biztoc.com/x/e69cb5b750008f98
Stock futures fall after Moody’s strips U.S. of its top credit rating,,Biztoc.com,2025-05-18T22:17:37Z,https://biztoc.com/x/02223fb815a05c08
Putin Heads Into Trump Call Confident That Russia Has Upper Hand,,Biztoc.com,2025-05-18T22:17:36Z,https://biztoc.com/x/e1b587240aa0a3f4
Singapore Bourse Risks Further Delistings Despite New Proposals,,Biztoc.com,2025-05-18T22:17:16Z,https://biztoc.com/x/10a5d159bdb111fd
"Sources detail Apple's AI efforts, including John Giannandrea's tenure, Craig Federighi's initial lack of interest in LLMs, and its acquisitions, including Siri",,Biztoc.com,2025-05-18T22:06:22Z,https://biztoc.com/x/85ef21c9739d4a15
New Zealand Man Arrested In $265 Million Crypto Scam,"New Zealand authorities have arrested a Wellington-based man in connection with an international hundred-million-dollar cryptocurrency scam operation. The probe into this fraudulent scheme is being led by the US Federal Bureau of Investigation (FBI), resultin…",Bitcoinist,2025-05-18T22:00:53Z,https://bitcoinist.com/new-zealand-man-arrested-265-million-crypto-scam/
Bitcoin: THIS indicator mirrors 2024’s bull run – Will history repeat?,Bitcoin Open Interest Delta is repeating a pattern seen during the previous bull run.,Ambcrypto.com,2025-05-18T22:00:39Z,https://ambcrypto.com/bitcoin-this-indicator-mirrors-2024s-bull-run-will-history-repeat/
Investors Brace for Stock Futures to Trade After Moody’s Downgrade,,Biztoc.com,2025-05-18T21:55:26Z,https://biztoc.com/x/0836f5393bfec849
RBA Poised for ‘Hawkish Cut’,,Biztoc.com,2025-05-18T21:55:25Z,https://biztoc.com/x/5f12d3439f73dbcc
Markets Set for Bumpy Ride After Moody's Downgrades US,,Biztoc.com,2025-05-18T21:55:19Z,https://biztoc.com/x/5e0a7b5ab7800839
Cybersecurity Firm Cyera Valued at $6 Billion in Funding Round,,Biztoc.com,2025-05-18T21:54:52Z,https://biztoc.com/x/725cdaf4b4ffbe89
UK and EU Poised to Grasp Post-Brexit Reset as Talks Go to Wire,,Biztoc.com,2025-05-18T21:43:49Z,https://biztoc.com/x/5247241c1116c112
UK and EU Poised to Grasp Post-Brexit Reset as Talks Go to Wire,,Biztoc.com,2025-05-18T21:43:49Z,https://biztoc.com/x/5247241c1116c112
Crypto elite increasingly worried about their personal safety | TechCrunch,"Cryptocurrency executives and other investors with significant wealth from crypto holdings are getting more serious about personal security, according to",TechCrunch,2025-05-18T21:32:22Z,https://techcrunch.com/2025/05/18/crypto-elite-increasingly-worried-about-their-personal-safety/
Pepe Holders Switching Fast: Bitcoin Solaris Mobile Mining Delivers Instant Results vs Speculation,"Bitcoin Solaris is quickly emerging as a clear alternative. Through its Nova App, users can mine BTC-S tokens directly from their smartphones — generating daily crypto income without exposure to trading volatility or market cycles. This mobile mining model ap…",ZyCrypto,2025-05-18T21:05:16Z,https://zycrypto.com/pepe-holders-switching-fast-bitcoin-solaris-mobile-mining-delivers-instant-results-vs-speculation/
XRP Primed for Epic $9 Price Explosion As Institutional Money Floods Back Heavily,Expert trader Ali Martinez highlighted the chances of XRP moving past $2.70 as the wider market flips green.,ZyCrypto,2025-05-18T20:47:57Z,https://zycrypto.com/xrp-primed-for-epic-9-price-explosion-as-institutional-money-floods-back-heavily/
